country_code;year;gear_type;metier;mismatch;;Count of mismatch;Column Labels;;;;;;;;;;;
DNK;2019;GTR;GNS_DEF_90-109_0_0;#VALUE!;;Row Labels;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;Grand Total
ESP;2017;GTR;GNS_DEF_>=16_0_0;#VALUE!;;BEL;;1;;;1;;;;;;;2
IRL;2013;PTB;OTB_DEF_70-99_0_0;#VALUE!;;BGR;1;1;1;1;1;1;1;1;1;1;1;11
ENG;2016;GNS;MIS_MIS_0_0_0;#VALUE!;;CYP;;;;;;;1;;1;1;;3
PRT;2016;GNS;FPO_DEF_>0_0_0;#VALUE!;;DEU;;;;;;;;1;1;1;1;4
ESP;2019;SDN;GNS_DEF_60-69_0_0;#VALUE!;;DNK;60;58;61;72;59;44;60;55;64;56;38;627
FIN;2021;PTM;MIS_MIS_0_0_0;#VALUE!;;ESP;203;185;209;201;187;174;212;186;184;185;212;2138
PRT;2014;GNS;GTR_DEF_>0_0_0;#VALUE!;;EST;1;;;;;;;;;;;1
ESP;2021;PS;LLS_DEF_0_0_0;#VALUE!;;FIN;2;1;1;4;4;4;4;5;5;5;4;39
FRA;2016;GEF;GES_CAT_0_0_0;#VALUE!;;FRA;14;14;14;16;15;14;14;15;15;14;15;160
GRC;2020;FPO;NK;#VALUE!;;GRC;10;9;10;10;9;7;7;11;10;7;1;91
ESP;2023;GNS;MIS_DES_0_0_0;#VALUE!;;HRV;4;5;5;4;4;4;2;3;2;2;2;37
IRL;2018;LHP;FPO_CRU_>0_0_0;#VALUE!;;IRL;43;42;42;45;35;34;47;40;34;36;41;439
ESP;2022;PTB;OTB_MPD_55-64_0_0;#VALUE!;;ITA;1;;;;;;;;;;;1
ENG;2015;GNC;GNS_SPF_10-30_0_0;#VALUE!;;LTU;;;;;;;;;;;1;1
FRA;2023;GEF;GES_CAT_0_0_0;#VALUE!;;MLT;;;;;;;;;;1;;1
PRT;2022;GNS;GTR_SPF_>0_0_0;#VALUE!;;NLD;;;;;;;;;;2;;2
DNK;2016;GTR;GNS_DEF_32-89_0_0;#VALUE!;;POL;2;2;2;2;5;1;2;2;2;;;20
ESP;2016;GNS;GND_SPF_31-39_0_0;#VALUE!;;PRT;49;52;64;61;55;54;56;50;55;56;11;563
ESP;2018;GTR;TBB_MOL_55-64_0_0;#VALUE!;;ROU;1;1;1;1;1;1;1;1;1;1;1;11
SCO;2014;GNS;NK;#VALUE!;;SVN;3;2;2;2;2;2;2;2;2;3;3;25
ESP;2016;OTB;NK;#VALUE!;;Grand Total;394;373;412;419;378;340;409;372;377;371;331;4176
ESP;2015;GND;GNS_DEF_60-69_0_0;#VALUE!;;;;;;;;;;;;;;
PRT;2020;GNS;FPO_MOL_>0_0_0;#VALUE!;;;;;;;;;;;;;;
IRL;2013;OTT;OTB_DEF_100-119_0_0;#VALUE!;;;;;;;;;;;;;;
IRL;2021;LHM;LHP_SPF_0_0_0;#VALUE!;;;;;;;;;;;;;;
DNK;2019;OTT;OTB_MCD_100-119_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2017;OTB;NK;#VALUE!;;;;;;;;;;;;;;
IRL;2013;PTB;PTM_SPF_40-54_0_0;#VALUE!;;;;;;;;;;;;;;
IRL;2018;PTM;OTB_DEF_100-119_0_0;#VALUE!;;;;;;;;;;;;;;
PRT;2023;NO;MIS_MOL_0_0_0;#VALUE!;;;;;;;;;;;;;;
FRA;2018;SV;SB_SPF_>0_0_0;#VALUE!;;;;;;;;;;;;;;
FRA;2018;LNB;LN_SPF_0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2022;PS;LHP_LPF_0_0_0;#VALUE!;;;;;;;;;;;;;;
PRT;2017;GTR;FPO_CRU_>0_0_0;#VALUE!;;;;;;;;;;;;;;
DNK;2015;OTB;GNS_DEF_110-156_0_0;#VALUE!;;;;;;;;;;;;;;
IRL;2018;GTR;GNS_DEF_120-219_0_0;#VALUE!;;;;;;;;;;;;;;
ENG;2018;GTR;MIS_MIS_0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2015;LA;GTR_DEF_60-69_0_0;#VALUE!;;;;;;;;;;;;;;
HRV;2019;GTN;GTR_DEF_>0_0_0;#VALUE!;;;;;;;;;;;;;;
IRL;2021;OTB;PTM_LPF_70-99_0_0;#VALUE!;;;;;;;;;;;;;;
DNK;2019;GNS;FPN_CAT_>0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2018;OTB;OTM_SPF_>0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2017;OTB;PS_SPF_>0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2022;LTL;LHM_SPF_0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2013;GTR;LLS_DEF_0_0_0;#VALUE!;;;;;;;;;;;;;;
ENG;2018;GNS;MIS_MIS_0_0_0;#VALUE!;;;;;;;;;;;;;;
FRA;2023;HMD;HMS_SWD_0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2023;LLS;GNS_DEF_>=16_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2016;PTB;OTB_MCD_55-64_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2023;SV;FWR_DEF_0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2015;OTB;PS_SPF_>0_0_0;#VALUE!;;;;;;;;;;;;;;
DNK;2021;FYK;FPN_CAT_>0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2016;GTN;GNS_DEF_60-69_0_0;#VALUE!;;;;;;;;;;;;;;
PRT;2022;GNS;FPO_MOL_>0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2021;GTR;GNS_DEF_90-99_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2023;DRB;GNS_DEF_50-59_0_0;#VALUE!;;;;;;;;;;;;;;
PRT;2020;GNS;LLS_DEF_0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2014;LTL;GTR_DEF_>=16_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2021;TBB;SDN_MCF_55-64_0_0;#VALUE!;;;;;;;;;;;;;;
SCO;2016;OTB;MIS_MIS_0_0_0;#VALUE!;;;;;;;;;;;;;;
DNK;2021;GTR;GNS_SPF_>=157_0_0;#VALUE!;;;;;;;;;;;;;;
DNK;2022;SDN;GNS_CRU_120-219_0_0;#VALUE!;;;;;;;;;;;;;;
DNK;2018;PTB;OTB_DEF_>=120_3_120;#VALUE!;;;;;;;;;;;;;;
PRT;2019;LLS;GNS_SPF_>0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2014;GNC;GNS_DEF_60-69_0_0;#VALUE!;;;;;;;;;;;;;;
IRL;2021;OTT;OTB_CRU_70-99_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2018;LLD;LLS_DEF_0_0_0;#VALUE!;;;;;;;;;;;;;;
SCO;2015;PTM;MIS_MIS_0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2020;OTB;TBB_MOL_55-64_0_0;#VALUE!;;;;;;;;;;;;;;
IRL;2014;GTR;GNS_DEF_120-219_0_0;#VALUE!;;;;;;;;;;;;;;
DNK;2022;OTB;TBB_CRU_16-31_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2020;PS;OTB_MCD_55-64_0_0;#VALUE!;;;;;;;;;;;;;;
PRT;2019;GTR;FPO_MOL_>0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2015;LHP;HMD_MOL_>0_0_0;#VALUE!;;;;;;;;;;;;;;
DNK;2020;GTR;GNS_SPF_32-89_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2017;FPO;LLS_DEF_0_0_0;#VALUE!;;;;;;;;;;;;;;
PRT;2020;GNS;GTR_MOL_>0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2015;LA;SDN_MCF_55-64_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2015;GTR;FPO_DEF_>0_0_0;#VALUE!;;;;;;;;;;;;;;
DNK;2013;GNS;OTB_DEF_>=120_3_120;#VALUE!;;;;;;;;;;;;;;
